"city","requirement"
"Алматы","Ингавирин 90г и Азитромицин 7 капсул"
"Атырау","Нужны лекарства. Дексаметазон и левофлоксацин"
"Алматы","Я мама многодетная мне нужна помочь виде продукты памперс номер 5"
"Алматы","Маган керек азық түлік май, кант, чай, ұн, дәрі овесол табкеткада жане Ацц таблеткада"
"Алматы","Одна пачка дексаметазона"
"Жаркент","Здравствуйте! Извините что не по теме. Но мне надо за квартиру заплатить, так как мы живём на съёмной квартире. Мама моя пенсионер, а я инвалид, правда пенсию не получаю и есть дочь подросток. Я первый раз в жизни прошу о помощи. Я работала до карантина. Помогите пожалуйста. Наверно не заметите."
"Алматы","Ингавирин, гроприносин, терафлю, нимесил, аскорбинка, все по одной упаковке"
"Алматы, Шымкент","Нужны препараты фраксипарин, для мамы. Она уже несколько дней не спит, боится что не хватит воздуха во сне. Она у меня врач, сама тоже заболела."
"Павлодар","любой антибиотик😔"
"Алматы","Метрогил, аскорбиновая кислота, азитромецин"
"Алматы","Лекарство -Фраксипарин -дексаметазо -мерапенем"
"Шымкент","Противовирусные таблетки: Тамифлю или ингавирин"
"Алматы","Если у Вас есть данные лекарства либо вы знаете где их купить, напишите мне пожалуйста. Физраствор, дексаметазон, глюкоза, аскорбиновая кислота в ампулах."
"Алматы","Продукты питания. Медикаменты."
"Село Раздольное","Ақшалай, деньгами, есть 3 кредита. Оплатить нечем. Так как сократили. Стыдно просить..."
"Алматы","Балаларға арналған : ыстықты басатын, жөтелге арналған.Витаминдер."
"Алматы","Нам нужна помощь деньгами, чтобы купить антибиотики, таблетки и немного продуктов. Я мать одиночка из малообеспеченной семьи, прошу помощь"
"Тараз","Эуфилин, дексамитазон"
"Павлодар","Фраксипарин 0,4 или 0,6 в ампулах"
"Астана","Финансовый помощь,  осталось без работы,  мать одиночка, есть два сына, дети болеют, за ком и за квартиру надо фин помощь. Можете проверить"
"Нур-Султан","Авелокс раствор для инфузий 400 мг 250 мл - 2ш Меропенем порошок для инъекций 1000 мг - 6шт"
"Шымкент","50000"
"Алмата","Я мама троих детей.средний сын инвалид детсво.уже 15 лет живем на сьемной квартире.На свой дом копить деньги не получается.По программе Бакытты отбасы уже второй раз отказ делают.Прошу помочь приобрести крышу над головой."
"Тараз","Цефтриаксон- 14 шт .новауоин 13 шт Дексаметазон 10 шт , левозин 10 шт по 500 гр"
"Нурсултан","Меропенем нужен срочно."
"Павлодар","Ингавирин (для беременной)"
"Алматы Жаркент Талдыкурган","ДЕМОТОН Т, аспирин, парацетамол, аскорбинка"
"Алматы","Мне нужен припорат ""преднизолон'""
Болеет маленький ребенок, 5 месяцев"
"Павлодар","Циклоферон в таблетках для взрослых"
"Шымкент","ақшалай көмек сұраймын. екі балам қатар ауруханаға түсті, екеуіде соқыршек. ұлымнынкі жарылып кеткен, қызымда тоқ ішектін майына жабысып, зорға алды. тағы бір қызым мойнынан ісік пайда болып емделіп жатырмыз. күйеуім инвалид. дәріміз бен жүрер жол ақшамызға қиналып кеттік. дәрілерде удай. ана жүрегім балаларымның бірінен соң бірі ауырғанға әзер шыдап жүрмін. ұлым жұмыс жасайтын олда үйде, азда болсын көмек берсеніздер екен. менен қайтпасада Алладан қайтсын"
"Алматы","Денежная. Так как я мама 5 Детей и муж не работает"
"Тараз","Лекарство Солу-медрил 500 мг., Дексаметазон, Ксарелто."
"Алматы","Либои помощ"
"Алматы","Продукты или деньги"
"Кокшетау","Цефтриаксон"
"Нур-султан","Дексаметазон"
"Алматы","Меня зовут Александр, я заболел и заразил всех своих родных. Отец с мамой в возрасте, прошу помочь лекарствами, в аптеках нет препаратов, чтоб погасить этот вирус. Прошу помочь чем есть, антибиотики, кашель жар горло и насморк"
"Атырау","Мне нужны деньги на продукты. Муж попал на операцию. Я дома в дикрете"
"Кызылорда","Фраксипарин 0,4 мл лекарство"
"Алматы","У меня старший сломал руку кальций и детский лекарства нужны"
"Караганда","Аскорбиновая кислота в ампулах шт 5-10"
"Алматы","Нужен Сумамед 500 мг или заменяющий антибиотик"
"Алматы","Мой муж болеет гипертонии. Каждый день пьёт лекарство от давления. Тельзап плюс 80, канкор5мг, нормадипин10мг. Маски, лекарство от простуды надо."
"Актобе","Мне нужен ампульный раствор Солковагин, 2 ампулы, в г. Актобе его нет, есть в Астане или в Алмате, так как там нет знакомых, я не знаю как можно доставить их в Актобе"
"Алматы","Нужен препарат «Курантил 25» не можем найти(человек лежит с пневмонией)"
"Алматы","лекарство"
"Алматы","Регидрон и антикоагулянты"
"Астана","Нужен -Противовирусный лопинавир ритонавир. У меня и у мамы пневмония двусторонняя. У мамы температура 38-38.5 держится 2 недели, ей 61 год. На цф3 и у меня и у мамы отёк квинке. Сейчас я и мама пьём антибиотик таваник мне помог , Маме сказали подключить противовирусный лопинавир ритонавир. Если есть доктор , который может приехать послушать маму, было бы хорошо. Участковый сказала что они не выезжают."
"Караганда","Нужен препарат хлорохин просто найти мы оплатим"
"Жаксы Акмолинская область","Тамефлю 75 мг упаковку"
"Алматы","Мне нужны деньги У меня есть кредит"
"Алматы","Дексаметазон 4мг 48 доз, аскорбиновая кислота ампулированная 10 доз"
"Сатпаев","Парацетамол"
"Алматы","Лекарство от простуды.Маски.Продукты"
"Казань","Лекарство из Турции от сахарного диабета «Galvus Med 50mg/ 1000mg Film Kapli Tablet. Надо выслать 3-4 пачки в город Казань. Оплачу при получении по почте или сдэк. Большие спасибо тем, кто сможет найти это лекарчтво и помочь."
"Алматы","Мне нужно  левофлаксацин , реамберин За ранее благодарю"
"Атбасар","Антибиотики  цеф3, диагноз пневмония"
"Семей","Цефозалин, физ.раствор, глюкоза, аскорбиновая кислота"
"Тараз район кулан","Прадукты"
"Алматы","Лекарство для почек.цеф  Метроги Шпри Систем Антибиотики и для почек почечный чай, урастин"
"Алматы","СРОЧНО!пожалуйста, нужна консультация терапевта,где найти хорошего терапевта?"
"Жезказган","Нужен препарат ингавирин"
"Нур-Султан","Ребенку 6 лет, температура, рвота,нужны жаропонижающие"
"Алматы","Фраксипарин,дексаметазол виал,катенокс"
"Тараз","Амбро"
"Нур-Султан","Преднизолон в ампулах"
"Алматы","Левофлоксацин 100 мл на 5 дней куплю"
"Алматы","Ксорелта, Эликас, фраксепорин, клексан"
"Алматы","Нужен дом"
"Алматы","Мне нужна продукты"
"Алматы","Нужен дом"
"Нур-Султан","Арпефлю"
"Караганда","Добрый день! Нужно азитромицин 9 таблеток. Аптеках Караганды нет в наличии. Если кто сможет передать из другого  города, деньги скину на карту. Дома болею сама муж и младший брат мужа. Заранее спасибо!"
"Алматы","Мне нужен Метрид 🙏🏽Где можно найти куплю"
"Алматы","Лекарство от простуды, маски, продукты"
"Карасайский район поселок Елтай","Азитромици Ациклови Метри Аевит"
"Алматы","Менын торт балам бар кышкентаи соларга свеча болса и дарылер болса"
"Туркестан","В виде денежных средств, на еду"
"Жанатас","Беременная болею 75тысяч надо на лекарство лечение"
"Алматы","Аскорбиновая кислата в ампулах"
"Алматы","Апарат ингалятор.парацетамол."
"Алматы","Цефомед антибиотик 5 ампул по 1 гр."
"Алматы","Дексометазон"
"Алматы ул Гайдара 198 кв 38","Антибиотики для детей и для взрослых Ибуфен, Парацетамол, Проспан , Анаферон , маска для детей, для взрослых , линекс капсула для детей, витамины для всех"
"Алматы","Продукты и одежды"
"Павлодар","Препарат Ванкомецин 500мг для внутривенного введения"
"Нур - Султан","Зитмак"
"Шымкент","Срочно нужен препарат Архимакс (меропенем) для пациента в реанимации!!"
"Алмата","У меня 6 детей"
"Павлодар","Цефтриаксон"
"Кокшетау","Цефтриаксон"
"Екатеринбург","Мне необходимы деньги на прохождение тестов на коронавирус. Наши врачи закрывают глаза на очевидные симптомы, тем самым не позволяя получить бесплатный тест. Самочувствие ужасное. Думаю расписывать не нужно, как это.. денег нет. Совсем. И работу не найти. Изо всех сил ищу удалёнку на момент болезни, но всё тщетно ("
"Шымкент","Декзаметазон 14ш Преднизоло Клекса Аскорби Циртоксим"
"Алматы-Кокшетау","Фраксипарин, клексан"
"Каскелен","Спрамакс система, ципрофлоксацин(офлоксацин)"
"Рудный","Мне нужны продукты питания, живем в двоем с мамой, все закрыли на карантин, работы нет и не на что купить продукты."
"Миасс","Мне нужны деньги. Т к сейчас проблема с работой, мои родители мало получают. Я хочу хоть так помочь нашей семье. Нас 4 члена семьи. Помогите хотябы по мелочи деньгами, буду благодарна. Здоровья вам и вашим близким"
"Караганда","Деньги"
"Алматы","Гепарин или клексан, фраксипарин"
"Алматы","Аскорбиновая кислота 6 кубиков на Физрастворе 200м/г витамин б6, в12, можно Метрогил."
"Алматы","Мне нужно Асперин, дома мама болит. Не могла найти в аптеках. И Аскарутин, регидрон. Но больше всего мне нужно Асперин. Пожалуйста помогите!"
"Караганда","Нужен  левозин500"
"Алматы","Ампицилин, Антигриппин, Парацетамол, Цитрамон, Омез, Танакан(детский),  Ципролет, Кальций Д3Никомед, и Продукты"
"Алматы","Азық түлік және дәрі дәрмекпен көмек болса"
"Алматы","Лекарство и витамины для зрения, у меня дочки миаипия и косоглазие"
"Алматы","Не можем найти фраксипарин или клексан"
"Алматы Алатау ауданы Байқоңыр 71","Детский парацетомол  оксолин доктор мом цитрамон аспирин"
"Бишкек","Мен жалгыз бой энемин эки балам бар кичинекейим бир жарым жаш памперс прадуктыдан жардам болсо жакшы болот эле Атам орукчан апам отуп кеткен акча жактан дагы жардам кылсаздар жакшы болот эле"
"Семей","Лекарства"
"Алматы","Азитромицин 500мг, глюкоза, парацетамол, метрид"
"Нур-Султан","Концентратор кислорода Armed 7f-5l"
"Алматы","Мне нужна помащ продуктами детское малако Симилак и памперсы гипоалергеные хагис 5 лекарство Сумамед детски Азитромицин Бифидумбакерим Эспумизан и жаропонижающее диагноз детей Апластическая анемия сверх чежолой форма гепатит с у второго малыша диагноз врожденный парок верхних дыхательных путей трохиомоляция"
"Алматы қаласы","Азық түлік"
"Тараз","Мне нужен лекарства от грипа"
"Тараз","Лекарство дексаметазон эуфиллин"
"Павлодар","Фраксипарин 0.4 или 0.6 в ампулах"
"Нур-Султан","Франсипарин"
"Алматы","Очень нужен дексаметазон в ампулах🙏🏻🙏🏻🙏🏻"
"Алматы","Архимакс"
"Актау","Меропенем 1г  в количестве 10 ампул"
"нур-султан","аскорбиновая кислота в ампулах для уколов"
"Шымкент","Отец больной лежит дома. больницы переполнены ни одна больница не берут отца. Частные клиники просят деньги. Сумма есть но не хватает. Прошу вас помочь материально 20.000-30.000тг"
"Алматы","Левофлоксацин инъекции как можно быстро, свекровь в реанимации. Мне нужно найти это лекарство до вечера. пожалуйста помогите"
"Тараз","Цефтриаксон,  Лидокаин, Азитромицин"
"Алматинская область Талгар","Ищу лекарство Левофлоксацин"
"Кызылорда","Канамицин сульфат"
"Алматы","Нужны лекарства, переехала недавно и не успела обзавестись аптечкой, а тут приболела, температура несколько дней и в аптеках как назло ничего нету,кто может помочь прошу о аспирине и противовирусных"
"Павлодар","Цефтриаксон 1000мг и лидокаин, могу купить, в аптеках нет, 20 шт"
"Алматы","Зомакс 500 (Азитромицин)"
"Алматы","Нужен гепарин в ампулах , клексан"
"Алматы","Ингавирин,азитромицин"
"Актау","ЦефIII"
"Тараз","Нужны очень Гепарин, аскорбиновая кислота в ампулах, ксарелто, дексаметазон, Ингавирин 90, тамифлю, чай Ли фэй🙏🏻🙏🏻🙏🏻"
"Алматы","Парацетамол,антигриппин,Виверон свеча,,Анаферон,Голлопроп,Ибуфен"
"Нурсултан","Мне нужна помощь"
"Нур-Султан","Амоксиклав 600 для инъекций"
"Караганда","Цеф III аксон Очень срочно дома все болеют,обзвонила все аптеки 👏👏👏"
"Алматы","Кыздарыма аяк киим, жаздык киимдер размер 34,36 кишкентай кыздарыма ойыншык керек"
"Алматы","Нужна информация, где можно купить препараты Меронем, Левофлоксацин, Дексаметазон. Финансовая часть не проблема"
"Алмата","Парацитамол ибуфен антигрипин лиголь галапроп"
"Нур-Султан","Добрый день. Меня зовут Ирина Панфилова, корреспондент Хабар 24. Заинтересовала ваша интернет-платформа, хотели бы сделать материал. Свяжитесь со мной пожалуйста"
"Адматы","Памперс 4 ка паристамол"
"Алматы","Физ раствор 100мг + аскорбиновая кислота 8мл 4куби Физ раствор 5штук +система 5штук аскорбиновая кислота 2упаковк Циклоферо Медрид 5шту Грипг Аспири Парацетамо Ибуфе Ац Амбробене"
"Алматы","Продукты"
"Шымкент","Витамины В6, В 12 в ампулах"
"Алматы","Амизон 250"
"Алматы","Цеф 3"
"Алматы","Нужна работа срочно"
"Нур-Султан","Нужен Клексан для инъекций  3 ампулы."
"Нур-Султан","таблетки азитромицин суммамед"
"Almaty","Не могу найти препараты лефофласицин система 10 шт , гепарин или фраксипарин , мерапенен все струйно не в таблетках"
"Семей","Левоксимед 500мг-100мл,10 ампул"
"Тараз","Нужна срочно дексаметазон и азитромицин цеф 3"
"Шымкент","Диксаметазон"
"Экибастуз","Температура слобость плохо ражижается кровь нужно лекарства РЕАМБЕРИН"
"Павлодар","Цефриаксон"
"Шымкент","здравствуйте ребята, где можно найти данное лекарство Архимакс 1000мг."
"Алматы","Ищу работу, муж работает при этом болеет, если он уйдет с работы нам нечем платить за жилье, у нас нет лекарств, градусника,его еще дополнительно мучает аллерги Мкрн Алгабас 6"
"Караганда","Нужно лекарство Гиппарин"
"Алмата","Фраксипарин 0.4  сколько есть. Платно"
"Семей","Аскорбиновая в ампулах, метрогил"
"Чапаевка","Могли бы вы прмочь деньгами"
"Темиртау","Добрый день! У меня болеет муж, ни в одной аптеке города не могу купить цефтриаксон и макропен! Помогите пожалуйста в приобретении лекарств!"
"Алматинская область","Продукты питарич"
"Тараз","Тамифлю таблетка"
"Нур-Султан","Ксарелто 7 таблеток, сумамед, цеф 3"
"Алматы","Продуктовый питание мука сахар макарон рис гречка мясо картошка  порошок мыло шампунь (стиральн.машинка )"
"Алматы","Финистил для детей  для прастуда"
"Shymkent","В каком состоянии нужно принимать лекарство ацикловир-акос и вместо этим можно принимать лекарство аспирин"
"Павлодар","Цефтриаксон 1000,лидокаин"
"Кокшетау","1. Цефтриаксон-20 шт(с ледокаином 2. Tamiflu-2 пачки(антивирусные таблетки 3. Инговери Прошу нужно очень срочно!!!!!"
"Караганда","Азитромицин"
"Алматы","Очень нужны деньги"
"Семей","Нужны лекарства !!! Ципрокс (капельница) и гентамицин в ампулах!!!"
"Алматы","Дексаметазон в ампулах"
"Алматы","Очень стыдно 😭😭😭, но уже денег нет даже на еду. Кто может помочь - прошу помогите! На работе сокращение и я попала под него. Нашла другую работу, но слишком рано для аванса - не дают. Ещё кредит 18 числа оплачивать. Уже, не знаю что делать. Кто сколько может, хоть 100 тенге 🙏🏻. У меня привязан киви-кошелёк к номеру. Если не жалко. Как заработаю деньги, верну! (обязательно пишите комментарии: ФИО и номер. Куда буду возвращать помощь). Спасибо!"
"Алматы АЛАТАУСКИИ РАИОН МКР Карасу","Я КАК МНОГАДЕТНАЯ НЕ ХВАТАТЕТ ДЕНЕГ КУПИТ КАК ЛИБО ЛЕКАРСТВА"
"Алматы","Фраксипарин 0.4"
"Нур-Султан (Астана)","Нужен Цеф3 (Цефтриаксон) в кол-ве 28 ампул (на 2 человек). Спасибо!"
"Балхаш","Антибиотики Цеф 3"
"Павлодар","Ледокаин"
"Алматы","Офло 100 мл"
"Актау","У папы одышка, нужен клексан или фраксипарин или гепарин. Маме тоже плохо нужен ксарелто"
"Караганда","Ципролет 100мл. -10 шт, левофлоксацин 100 мл.-20шт,  парацетамол- 50 пачек. Не могу найти лекарства в городе."
"Караганда","Парацетомол,аспирин,арпефлю,любые антибиотики,для детей тоже,или можно деньгами помощь🙏"
"Алма- Ата","Нужен , Дексамитазон в ампулах"
"Павлодар","Фраксипарин, ксарелто, гепарин, клексан , нужно что нибудь из этого"
"Актобе","Цефтриакцион, сумамид, парацетамол"
"Алматы","Курантил"
"Кызылорда","Метрогил (система)"
"Алматы","Маган 5балама прадукта керек жане еки улым мектепке барады мектеп формасымен қамтамассыз етилсе екен"
"Нур-Султан","Цефтриаксон в ампулах, 1гр., 6 ампул"
"Алматы","Нужно лекарство Левофлоксатин. Для бабушки, 70 лет. Нужно 7 упаковок. Обысков весь город, не можем найти. Пожалуйста, помогите"
"Алматы","Дексимитазон"
"Алматы","Нужны лекарства « Гепарин» или «Фраксипарин». Желательная дозировка 0.5"
"Темиртау","Кыст аль хинди в виде порошка. Куплю"
"Сарыозек","У меня переполнился желчь , масса тела уже 42кг желудок , кишечник врачи не принимают В частные клиники нет денег"
"Актау","Лечебное питание"
"Алматы","Леволет 100"
"Алмата","Лекарства умкалор имупрет анаферон виферон продукты  ."
"Нур-султан","Нужен препарат Альбумин 20%"
"Нур-султан","Антикоагулянты"
"Алматы","Нужна помощь деньгами. Осталась без работы."
"Алматы","Нужен кислородный баллон для пожилого человека. Прошу связаться со мной 🙏🙏🙏🙏"
"Алмады","Продукты картошка лук мука масло"
"Шымкент","Арихимакс 1000 мг 6 ампул"
"Актау","Нужен укол Гепарин"
"Алматы","Лекарства для детей. У всех кашель и орви .я многодетная мама.маски нужны"
"Алматы","Я осталась без работы чем может памочь"
"Шымкент","Необходим Фукорцин"
"Алмат Алтау ауданы Акбулак Нурписова уи22","Акшалаи комек"
"Астана","Дексометазон 1,0 внутримышечно. Мама болеет, нигде не можем найти. Я сама на самоизоляции, выйти не могу"
"Нур-Султан","Парацетамол нужен 🙏🏻"
"Караганда","Клексан, Левофлоксацин"
"Нур-Султан","Противовирусные препараты (ингавирин, азитромицин )"
"Шымкент","Меропенем 1000мг - 5 штук Очень срочно"
"Алматы","Меропенем"
"Алматы","есенсал для печен гепабена свечя  релиф и гегсикон"
"Нур-Султан","Дексаметазон 10 ампул"
"Алматы","Градусник, ингавирин"
"Алматы","Азитромицин,Метрид физ.раствор, аскорбиновая кислота, Витамин Д и В6, В12, кардиомагнил, эссенциале Н"
"Алматы","Нужно 10 флаконов Цефтриаксона( желательно этот препарат) или Цефтазидима или Цефуроксина. Заранее спасибо"
"Алматы.район Алатауский Мекрорайон.Акбулак ул.Байконырова 71","Детский парацетамол,аспирин,цетрамол,Виферон свечка,аксалин,ебуфен,"
"Петропавловск","В связи карантином приостановилась деятельность в сфере услуг ,а я только обучилась и потратила почти все деньги на материалы и оборудование.не отказалась бы от памперсов для мальчика 4+или 5размер. И в городе нет парацетамола."
"Алматы","Ингавирин, витамин с 10 упаковок в апмулах, шприцы 10гр-20 шт, лидокаин"
"Кокшетау","Инъекции Цефамед , 6 шт"
"Алматы","Тамифлю 75 мг, аспирин"
"Нур-Султан","Левозин 500 ( антибиотик в таблетках)"
"Актау","Нужен эутирокс 50 мг"
"Нур-Султан","Я живу с дочкой и внучкой на съёмной квартире, оплачиваем 120.000 за аренду. Я не работаю смотрю за внучкой, дочка занимается салоном красоты. 2 недели болела дома скорая не забирала, забрали когда начала задыхаться, продержали в больнице 3-4 дня отправили домой сказали ковид отрицательный, дочка привезла меня домой я ходить не могла. Потом дочка настояла ещё раз сдать на ковид, мы сдали и оказывается положительный с хайваем снова лежу в больнице. В больнице нет препаратов для разжижения крови, ваты и лейкопластырей нет. Дочка не работает, сидят с внучкой дома, изолировались так как могут быть бессистемными носителями, и даже не знают как лечиться и что делать, кому обратиться. Каждый месяц 20 числа оплата аренды за жильё, прошу вас помогите хотя бы чтоб на улице не остались. Сердце разрывается просто. Алла разы болсын сизге🤲🏼"
"Темиртау","Нужны таблетки Зиннат 500 Для инвалида 1-й группы"
"Алматы","Метрогил, витамин с в ампулах"
"Семей","Нужны препараты фраксипарин или клексан"
"Шымкент","Редуктор стаканчик, увлажнитель"
"Нур-Султан","Где можно сделать срочно КТ легких пожалуйста подскажите!?"
"Алматы","Нужны препараты:глюкоза 5% 200 мл,аскорбиновая кислота 6 мл,дексаметазон 4 мл,курантил"
"Семей","Нужны деньги на еду и оплату коммунальных услуг, так как пенсия 16.037 тг. Ни на что не хватает"
"Караганда","ЦЕФ 3, 5-7 ампул"
"Алматы","Доброго времени суток Неудобно обращаться с просьбой помощи моего характера, при этом Я попробую так как сам на протяжении уже 4х месяцев никак немогу решить Суть моей просьбы в следующем Сейчас коллекторы долбят меня чтобы погасил задолжность перед ними не взирая на положение в мире. Дом поставили в арест. Если до конца июля Я ее не закрою, они выставят дом моей мамы на торги и продадут его за копейки забрав задолжность и + % Мама сейчас живет на даче, у нас в планах продать этот дом, закрыть задолжность, потом продать дачу и перевезти маму в город Этот дом Я сейчас продаю по более сниженной цене, покупателей особо нет. А те кто есть не хотят сталкиваться с покупкой дома, который в аресте. Разговаривал с коллекторами чтобы они арест сняли, Я дом продал и сразу закрыл вопрос о задолженности. Ни в какую не идут на встречу. Пока полная задолжность не будет погашена, арест снимать не будут Прошу у кого есть возможность занять мне 1.300.000тг. Как продам дом, сразу расчитаюсь с Вами Заранее благодарю за уделенное время моей просьбе о помощи."
"Алматы Баиконыр 71","Парацетамол сироп, виферон, от кашля, оксивин, оксалин мазь, ибуфень,"
"Алматы","Хотел купить несколько кислородных апартов и подарить в больницу в село. Помогите где можно найти"
"Атбасар","Здравствуйте. Нам нужны цеф 3, парацетамол и Азитромацин."
"Нур-Султан","Парацетамол (6 шт), градусник ртутный (1шт)"
"Алматы","1. Ингавирин 2. Аскорбиновая кислота 5% - 2.0 в.в ( 5 ампул) 3. Азитромицин 4. Нимесил 5. Арбидол"
"Алматы","Цефтриаксон 20 ампул"
"Нурсултан","Цефтриаксон, глюкоза 40 % в ампулах, аскорбиновая кислота 6%, дексамитазон, ацц шипучие 600"
"Шымкент","Дексаметазон Гентамицин 0 Пожалуйста помогите нам нужно срочно"
"Туркестанской область,  город Сарыағаш","Реамбирин 250 Ингаверин"
"Павлодар","Отцу в больнице с пневмониеи , требуется цефтриаксон и дексометазон"
"Алматы мкр Шанырак ул Маркакөль дом 56","можна за продуктами  необходимый лекорства лозолван ,ибуфен ,виферон свеча"
"Ural’sk,Kazakhstan","Курантил"
"Шымкент","Ксалерто 10,20 мг если есть информация где можно купить или есть поступление  дайте знать!"
"Алматы","Нужен ртутный градусник"
"Нур-Султан","Нужен цефтриаксон"
"Алматы","Найти работу"
"Хромтау","Азитромицин"
"Кызылорда","Кислородный увлажнитель (увлажнитель)срочно"
"Алматы","Добрый день! Для моей сестры нужно дексаметазон для инъекций"
"Алмата","цевтракцон парацетамо аналги глюкоз аскарбинк витамин в в1 Ингавирин 90"
"Атырау","В Атырау есть те кто продают цеф3 или метрид систему?"
"Талдыкурган","нужна трубка для кислорода .которая через нос нужно вставлять.есть фото трубки.у нас в городе нет.абысынка беременная с пневманией."
"Нур-Султан","Аскорбиновая кислота 2мл, по 10 ампул. 4 шт"
"Алматы","Нужен Архимакс 20 ампул! Куплю срочно ( дядя и тетя в тяжелом состоянии)"
"Павлодар","Циклоферон в ампулах"
"Алматы","Анальгин для инъекции"
"атырау","у меня слабость, температура, кашель"
"Алматы","Левофлоксацин или его содержащие лекарства, Леволет и т.д. для капельницы"
"Алматы","Либо антибиотики либо финансовые"
"Алматы","Гепарин или траксивозин ( инъекция)"
"Актобе","Мне срочно нужно лекарство КУРАНТИЛ"
"Алмата","Мне нужен цефамед, пульмикорт для ингаляции"
"Актобе","Мне нужно глюкоза 200мл раствор для инфузий (система) - 10шт, и аскорбиновая кислота в ампулах 10 ампул"
"Алматы","Офло антибиотик Преднизолон Эуфелин"
"тараз қаласы сарыкемер ауыл","ақша керек"
"Алматы","Продукты или денежный"
"Павлодар","Клексан"
"Алматы","Дексаметазо Фраксипарин"
"Жолымбет","Яя безработная,нужна материальная помощь"
"Павлодар","Нужны таблетки Азитромицин (в любом запатентованном названии), прописал врач . Нужно 3 штуки 500мг или 6 штук 250мг"
"Алматы","Лекарства"
"Шымкент","Нужны лекарства Фраксипарин,Гепаксан,Дексаметазон"
"Алматы","услуги хорошего терапевта и антибиотики азитромицин, сумамед, фурацилин, противовирусные преппараты, аскорбинка витамины."
"Алматы","Нужен физраствор 100мг. -5 шт. Преднизолон 60мг 3 ампулы"
"Алматы","Папа болеет.аскорбиновая кислота в ампулах и витамины нужны"
"Байзақ ауданы сарыкемер аулы халиев 1үй","Прадукта квартирамның ақшасын төлеалмай жатырмын өтініш көмектесіңіздерші бес балам бар жағдайым жоқ"
"Усть-Каменогорск","Арпефлю, Азитромицин , Ас тромбин, Лавомакс, Ингаверин, Зитмак. Куплю данные лекарства. Если есть хотя бы 1 из них, прошу связаться через Whatsapp или позвонить"
"Шымкент","Ацц 600 мг"
"Шымкент","Леволет раствор  100мл"
"Алматы","Нужны деньги на лекарства"
"Тараз","Мне нужно лекарство и аппараты ингаляция. Название лекарства иммунал от кашля. Дочка заболела очень сильно."
"Шымкент","Фраксипарин или Гексан 20шт"
"Алматы Шымкент Кызылорда","Нужен бромбиксин"
"Алматы","Добрый день, в связи с потерей работы и практически невозможностью найти другую. Очень неудобно писать, но пригодилась бы помощь финансовая, чтобы оплатить коммуналку. Если вы сможете привезти продуктов( макароны, рис, чай, хлеб, может овощей или фруктов) тоже буду благодарна. Если у кого-то есть лишний наполнитель для лотка и кошачий корм, тоже бы пригодилось. В свою очередь могу предложить помощь по дому, уборка, готова, стирка. Погулять с собакой или может что-то ещё. Не имею возможности помочь финансово, но чем смогу."
"Нур-Султан","Врач инфекционист или терапевт"
"Уральск","Лекарство левоксимед внутривенно"
"Астана","Цефамед или цефтриаксон"
"Алматы","Аскорбиновая кислота в ампулах 5 шт"
"Жетысай","Мы с семьёй грипуем, нужны антибиотики, парацетамол, назальный спрей от гайморита, цефазолин, навокаин, шприцы, и т.д."
"Кокшетау","Клексан 4000"
"Алматы","Нужен левофлоксацин для внутривенного введения"
"Астана","Аскорбиновая кислота в ампулах и дексамитазон нужен 🙏🏻🙏🏻🤙🏻"
"Кызылорда","Мне нужен антибиотик цефтриаксон 10шт и витамин С"
"Алматы","Цепрокс, цепролетте"
"Кокшетау","Мне нужны деньги я из многодетней семьи, мы не можем платить на ком услугу и за квартиру помогите пожалуйста!"
"Павлодар","Фраксипарин 0,4или 0,6"
"Актобе","Левофлокцасин у кого есть? желательно с города Актобе или Уральск"
"Кокшетау","Противовирусные, парацетамол"
"Нур-Султан","Ингавирин срочно сегодня ,завтра отдадим как нам привезут"
"Темиртау, Караганда","Любые противовирусные"
"Мангистау","Фраксипарин"
"Нур-Султан","цефазолин-акос 500 и новокаин для сына 1 год немогу наити лекарство очен сильно болеет температура  каждый день суспензия не помогает нужно укол"
